Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
מנשה,,161B1104894,מגרש כדורסל – 19X32 מ',מגרש מושב שדה יצחק,,,,199609.0,701231.0,1.0,,מושב שדה יצחק,052-2366255,hafuz1@inter.net.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000.0,,Very High,1,1,4.0,25.0
מנשה,,161P1102224,בריכת שחיה - 25X12.5 מ',בריכת מושב תלמי אלעזר,,,,197626.0,705694.0,1.0,,משכיר המתקן,057-7626723,izhak70@walla.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1988.0,,,1,1,4.0,37.0
מנשה,,161F2104285,מגרש כדורגל - לא תקני,מגרש כדורגל מושב תלמי אלעזר,,,,197764.0,705770.0,1.0,,מושב תלמי אלעזר,057-7626723,izhak70@walla.com,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1991.0,,Very High,1,0,3.0,34.0
מנשה,,161B1104896,מגרש כדורסל – 19X32 מ',מגרש מושב תלמי אלעזר,,,,197633.0,705763.0,1.0,,מושב תלמי אלעזר,057-7626723,izhak70@walla.com,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1987.0,,Very High,1,1,3.0,38.0
מנשה,,161G2100153,אולם ספורט קטן – 15x24 מ',אולם אזורי מנשה,,,,201292.0,708061.0,1.0,מנשה,מחלקת הספורט מנשה,04-6177323,odedn@menashe.co.il,400.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1988.0,גוונים + רעות,Low,1,1,3.0,37.0
מנשה,,161P1102158,בריכת שחיה - 25X12.5 מ',בריכת גבעת חביבה,,,,202351.0,707199.0,1.0,,סמינריון גבעת חביבה,,tooly2@netvision.net.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1978.0,קמפוס גבעת חביבה,Low,1,1,4.0,47.0
מנשה,,161P1102256,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ ברקאי,,,,203298.0,709000.0,1.0,,קיבוץ ברקאי,04-6387108,mazkirim@barkai.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1964.0,,Low,1,1,3.0,61.0
מנשה,,161F2105855,מגרש כדורגל - לא תקני,מגרש קיבוץ ברקאי,,,,202735.0,709103.0,1.0,,קיבוץ ברקאי,04-6387108,mazkirim@barkai.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1983.0,,Very High,1,1,3.0,42.0
מנשה,,161F1104924,מגרש כדורגל – 45X90 מ',מגרש מכבי ברקאי,,,,202544.0,708733.0,1.0,,קיבוץ ברקאי,04-6387108,mazkirim@barkai.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1994.0,,Low,1,1,4.0,31.0
מנשה,,161B1105866,מגרש כדורסל – 19X32 מ',מגרש קיבוץ ברקאי,,,,203228.0,708972.0,1.0,,קיבוץ ברקאי,04-6387108,mazkirim@barkai.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975.0,,Very High,1,1,1.0,50.0
מנשה,,161G2100297,אולם ספורט קטן – 15x24 מ',אולם גן שמואל,,,,195820.0,706603.0,1.0,,קיבוץ גן שמואל,04-6320596,mazkirut@ganshmuel.com,300.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1978.0,,Low,1,1,3.0,47.0
מנשה,,161P1102157,בריכת שחיה - 25X12.5 מ',בריכת גן שמואל,,,,195683.0,706446.0,1.0,,קיבוץ גן שמואל,04-6320596,mazkirut@ganshmuel.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1950.0,,,1,1,4.0,75.0
מנשה,,161F2105852,מגרש כדורגל - לא תקני,מגרש קיבוץ גן שמואל,,,,195734.0,706788.0,1.0,,קיבוץ גן שמואל,04-6320596,mazkirut@ganshmuel.com,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1972.0,,Very High,1,0,3.0,53.0
מנשה,,161T1103692,מגרש טניס,מגרש גן שמואל,,,,195735.0,706486.0,2.0,,קיבוץ גן שמואל,04-6320596,mazkirut@ganshmuel.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1990.0,,Low,1,1,4.0,35.0
מנשה,,161P1102267,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ להבות חביבה,,,,201302.0,699897.0,1.0,,קיבוץ להבות חביבה,04-6368606,lehavot7@bezeqint.net,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1972.0,,Low,1,1,3.0,53.0
מנשה,,161F2104313,מגרש כדורגל - לא תקני,מגרש כדורגל קיבוץ להבות חביבה,,,,201353.0,699924.0,1.0,,קיבוץ להבות חביבה,04-6368606,lehavot7@bezeqint.net,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1978.0,,Very High,1,0,3.0,47.0
מנשה,,161B2105263,מגרש ספורט משולב – 43X32 מ',מגרש משולב להבות חביבה,,,,201318.0,699970.0,1.0,,קיבוץ להבות חביבה,04-6368606,lehavot7@bezeqint.net,,פתוח ללא הגבלה,כן,כן,כן,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1965.0,,Very High,1,1,1.0,60.0
מנשה,,161P1102262,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ מגל,,,,203881.0,698874.0,1.0,,קיבוץ מגל,04-6287111,smadar@magal.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970.0,,Low,1,1,3.0,55.0
מנשה,,161T1105865,מגרש טניס,מגרש קיבוץ מגל,,,,203887.0,698942.0,1.0,,קיבוץ מגל,04-6287111,smadar@magal.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1992.0,,Very High,1,1,1.0,33.0
מנשה,,161F2104314,מגרש כדורגל - לא תקני,מגרש כדורגל קיבוץ מגל,,,,203449.0,699256.0,1.0,,קיבוץ מגל,04-6287111,smadar@magal.org.il,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1989.0,,Very High,1,0,3.0,36.0
מנשה,,161B1105867,מגרש כדורסל – 19X32 מ',מגרש קיבוץ מגל,,,,203919.0,698954.0,1.0,,קיבוץ מגל,04-6287111,smadar@magal.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1985.0,,Very High,1,1,3.0,40.0
מנשה,,161G3100681,אולם ספורט בינוני – 32x19 מ',אולם מענית,,,,202660.0,706665.0,1.0,,קיבוץ מענית,054-4921323,mimrana@ma.maanit.org.il,400.0,בתיאום בלבד,לא,כן,לא,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1982.0,,Low,0,1,3.0,43.0
מנשה,,161P1102240,בריכת שחיה - 25X12.5 מ',בריכת מענית,,,,202757.0,706739.0,1.0,,קיבוץ מענית,054-4921323,mimrana@ma.maanit.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1955.0,,Low,1,1,3.0,70.0
מנשה,,161F2104288,מגרש כדורגל - לא תקני,מגרש כדורגל מענית,,,,203062.0,707140.0,1.0,,קיבוץ מענית,054-4921323,mimrana@ma.maanit.org.il,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1964.0,,Very High,1,0,3.0,61.0
מנשה,,161B1105861,מגרש כדורסל – 19X32 מ',מגרש קיבוץ מענית,,,,202690.0,706740.0,1.0,,קיבוץ מענית,054-4921323,mimrana@ma.maanit.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1969.0,,Very High,1,1,3.0,56.0
מנשה,,161P1102243,בריכת שחיה - 25X12.5 מ',בריכת מצר,,,,204834.0,704992.0,1.0,,קיבוץ מצר,052-4399054,mazkir10@metzer.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1960.0,,Low,1,1,3.0,65.0
מנשה,,161T1105869,מגרש טניס,מגרש קיבוץ מצר,,,,204887.0,704981.0,1.0,,קיבוץ מצר,052-4399054,mazkir10@metzer.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1989.0,,Low,1,1,3.0,36.0
מנשה,,161F2104316,מגרש כדורגל - לא תקני,מגרש כדורגל קיבוץ מצר,,,,204910.0,705101.0,1.0,,קיבוץ מצר,052-4399054,mazkir10@metzer.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1985.0,,Very High,1,1,3.0,40.0
מנשה,,161B1105857,מגרש כדורסל – 19X32 מ',מגרש קיבוץ מצר,,,,204587.0,705113.0,1.0,,קיבוץ מצר,052-4399054,mazkir10@metzer.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970.0,,Very High,1,1,3.0,55.0
מנשה,,161P1102270,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ משמרות,,,,198723.0,710487.0,1.0,,קיבוץ משמרות,050-5212245,talula11@bezeqint.net,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1964.0,,Low,1,1,3.0,61.0
מנשה,,161B1105859,מגרש כדורסל – 19X32 מ',מגרש קיבוץ משמרות,,,,198744.0,710490.0,1.0,,קיבוץ משמרות,050-5212245,talula11@bezeqint.net,,בתיאום בלבד,לא,לא,כן,לא,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1964.0,,Low,0,0,1.0,61.0
מנשה,,161G2101870,אולם ספורט קטן – 15x24 מ',בית הבנים,,,,200791.0,707500.0,1.0,,קיבוץ עין שמר,052-2589112,Rakefet@ein-shemer.com,400.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1980.0,מבואות עירון,Low,1,1,3.0,45.0
מנשה,,161P1102260,בריכת שחיה - 25X12.5 מ',בריכת עין שמר,,,,200858.0,707684.0,1.0,,קיבוץ עין שמר,052-2589112,Rakefet@ein-shemer.com,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1953.0,מבואות עירון,Low,1,1,3.0,72.0
מנשה,,161S1101631,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,"בי""ס מבואות עירון",,,,200925.0,708006.0,1.0,,"בי""ס מבואות עירון",04-6377720,odedn@menashe.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002.0,"בי""ס מבואות עירון",Very High,1,1,3.0,23.0
מנשה,,161B1105870,מגרש כדורסל – 19X32 מ',מגרש קיבוץ עין שמר,,,,200901.0,707747.0,1.0,,קיבוץ עין שמר,052-2589112,Rakefet@ein-shemer.com,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1958.0,"בי""ס מבואות עירון",Low,1,1,3.0,67.0
מנשה,,161P1102278,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ רגבים,,,,203300.0,714426.0,1.0,,קיבוץ רגבים,04-6289002,mazkir@regavim.co.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1971.0,,Low,1,1,3.0,54.0
מנשה,,161B1105871,מגרש כדורסל – 19X32 מ',מגרש קיבוץ רגבים,,,,203245.0,714444.0,1.0,,קיבוץ רגבים,04-6289002,mazkir@regavim.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1969.0,,Very High,1,1,3.0,56.0
מנשה,,161F2104223,מגרש כדורגל - לא תקני,מגרש כדורגל אלוני יצחק,,,,200757.0,712986.0,1.0,,"בי""ס אלוני יצחק",052-5699835,jacobb@a-y.org.il,,בתיאום בלבד,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1987.0,,Low,1,0,3.0,38.0
מנשה,,161B1103537,מגרש כדורסל – 19X32 מ',מגרש אלוני יצחק,,,,200543.0,712842.0,1.0,,"בי""ס אלוני יצחק",052-5699835,jacobb@a-y.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001.0,,Low,1,1,4.0,24.0
מנשה,,161T1103542,מגרש טניס,מגרש אלוני יצחק,,,,200539.0,712990.0,2.0,,"בי""ס אלוני יצחק",052-5699835,jacobb@a-y.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1995.0,"בי""ס אלוני יצחק",Low,1,1,4.0,30.0
מנשה,,161F5101403,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'","אצטדיון א""ק מנשה מ. עירון",,,,200925.0,708006.0,1.0,,"בי""ס מ. עירון ומ.א. מנשה",04-6177323,odedn@menashe.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1986.0,,Very High,1,1,3.0,39.0
מנשה,,161M1101619,מגרש מיני פיץ',"בי""ס יסודי רעות",,,,201314.0,707894.0,1.0,מנשה,מ.א. מנשה,04-6177323,odedn@menashe.co.il,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2004.0,יסודי רעות,Very High,1,0,4.0,21.0
מנשה,,161A1106361,מכון לכושר גופני,מלוא מרכז לותיק,,,,201307.0,708121.0,1.0,מנשה,מ.א. מנשה,04-6177323,odedn@menashe.co.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1993.0,,Low,1,1,4.0,32.0
מנשה,,161B2106587,מגרש ספורט משולב – 43X32 מ',מרכז אזורי מנשה,,,,201285.0,708180.0,2.0,מנשה,מ.א. מנשה,04-6177323,odedn@menashe.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1998.0,גוונים + רעות,Very High,1,1,4.0,27.0
מנשה,,161S1104786,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מגרש כדורעף חופים גוונים,,,,201309.0,708082.0,,מנשה,"בי""ס גוונים",,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2016.0,,Low,0,0,4.0,9.0
מנשה,,161G3400154,אולם ספורט בינוני – 32x19 מ',אולם אזורי מנשה חדש,,,,201074.0,707983.0,,מנשה,מועצה אזורית מנשה,,,,בתיאום בלבד,לא,לא,לא,לא,לא פעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",,2018.0,,Low,0,0,2.0,7.0
מנשה,,161B2105373,מגרש ספורט משולב – 43X32 מ',מגרש משולב שבילי רעות,,,,201202.0,708067.0,,מנשה,בית ספר שבילי רעות,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2016.0,,Low,0,0,4.0,9.0
מנשה,,161M1104909,מגרש מיני פיץ',מגרש מיני פיץ' שבילי רעות,,,,201207.0,708041.0,,מנשה,בית ספר שבילי רעות,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2016.0,,Low,0,0,4.0,9.0
מנשה,,161M1104917,מגרש מיני פיץ',מגרש מיני פיץ' רעות,,,,201331.0,708052.0,,מנשה,בית ספר רעות,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2012.0,,Low,0,0,4.0,13.0
מסעדה,,189M1106226,מגרש מיני פיץ',מיניפיץ',קרית חינוך,,,270750.0,792650.0,1.0,מסעדה,מועצה מקומית,04-6981480,samar_z3@hotmail.com,100.0,מבוקר ועד לילה,לא,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2008.0,יסודי אלאנואר מסעדה,High,0,0,4.0,17.0
מסעדה,,189F3101412,אצטדיון כדורגל – 105X70 מ',אצטדיון הכדורגל,עמאראת דרומית,,,270800.0,792200.0,,מסעדה,מועצה מקומית,04-6981480,samar_z3@hotmail.com,300.0,בתיאום בלבד,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,Low,1,0,4.0,30.0
מע'אר,,035G4309009,אולם ספורט גדול - 45X24 מ',אולם ספורט,,,,238990.0,754611.0,,מע'אר,מועצה מקומית מע'אר,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2019.0,,,0,0,4.0,6.0
מע'אר,,035F1104175,מגרש כדורגל – 45X90 מ',מגרש כדורגל,מזרחית,,,238030.0,753780.0,,מע'אר,מועצה מקומית מע'אר,04-6780691,salihbader@hotmail.com,100.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1980.0,יסןגי +חט''ב +תיכון,Low,1,1,3.0,45.0
מע'אר,,035G4100816,אולם ספורט גדול - 45X24 מ',אולם ספורט,אלמנ סורה,,,238250.0,753800.0,,מע'אר,מעוצה מקומית מע'אר,04-6780691,,450.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1990.0,בית ספר תיכון ב,Low,1,1,4.0,35.0
מעיליא,,057M1108954,מגרש מיני פיץ',מיני,,,,223971.0,770396.0,,מעיליא,מועצה מקומית מעיליא,052-37638,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2017.0,כן,Very High,0,0,3.0,8.0
מעיליא,,057F2108955,מגרש כדורגל - לא תקני,סחבק מוגדל 61/31 מ,,,,223972.0,770222.0,,מעיליא,מועצה מקומית מעיליא,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2019.0,,Low,0,0,4.0,6.0
מעיליא,,057G4101003,אולם ספורט גדול - 45X24 מ',אולם ספורט מעיליא,מערבית,מונפורט,13,224340.0,770230.0,1.0,מעיליא,מועצה מקומית,052-3763892,mazenab@nana10.co.il,500.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1998.0,ב''ס יסודי +חט''ב +תיכון,Very High,1,1,4.0,27.0
מעיליא,,057F2105690,מגרש כדורגל - לא תקני,מגרש קט רגל,מערבית,מונפורט,14,224148.0,770234.0,1.0,מעיליא,מועצה מקומית,052-3763892,mazenab@nana10.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1948.0,ב''ס יסודי +חט''ב +תיכון,Very High,1,1,4.0,77.0
מעלה אדומים,,171G2108970,אולם ספורט קטן – 15x24 מ',אולם אלמוג,נופי הסלע,אלמוג,,229571.0,632731.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,בתיאום בלבד,כן,כן,כן,לא,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",לא רלוונטי,2018.0,כן,Low,1,1,4.0,7.0
מעלה אדומים,,171B2103443,מגרש ספורט משולב – 43X32 מ',מגדים,מגדים,פרי מגדים,,227997.0,630974.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2005.0,מגדים,Very High,1,1,4.0,20.0
מעלה אדומים,,171R1106984,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מתקן אופניים,קרית חינוך,פארק הנוער,,228192.0,630979.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171R1106990,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מתקן גלגיליות,קרית חינוך,פארק הנוער,,228234.0,630998.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171R1107069,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מתקן סקייטבורד,קרית חינוך,פארק הנוער,,228193.0,630011.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171R1107074,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מתקן פינג פונג,קרית חינוך,פארק הנוער,,228252.0,631028.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171B2107589,מגרש ספורט משולב – 43X32 מ',פארק הנוער,קרית חינוך,פארק הנוער,,228153.0,631025.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,לא,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006.0,,Very High,0,1,4.0,19.0
מעלה אדומים,,171A2107089,מתקן פתוח לכושר גופני,"מתקני גדנ""ע",קרית חינוך,פארק הנוער,,228214.0,631079.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171A2107590,מתקן פתוח לכושר גופני,פארק הנוער,קרית חינוך,פארק הנוער,,228216.0,630041.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171R1107070,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מתקן פינג פונג,דרך הגיא,פארק המשפחה,,228608.0,631623.0,,מעלה אדומים,עיריית מעלה אדומים,025357484,sport1@mam.matnasim.co.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
מעלה אדומים,,171G1101376,אולם ספורט קטן – 20x10 מ',"אמי""ת",נופי סלע,נופי סלע,,229070.0,631610.0,,מעלה אדומים,"מתנ""ס מעלה אדומים",052-3377913,sport@mmasport.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006.0,"אמי""ת / אולפנא צביה",Very High,1,1,4.0,19.0
